Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2016,46.361,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2015,45.682,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2014,44.675,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2013,43.733,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2012,42.853,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2011,42.321,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2010,41.509,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2009,40.509,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2008,40.515,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2007,39.923,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2006,41.295,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2005,40.369,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2004,40.108,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2003,39.003,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2002,38.116,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2001,37.214,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2000,35.961,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1999,40.689,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1998,39.657,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1997,38.402,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1996,37.273,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1995,36.238,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1994,35.778,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1993,34.781,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1992,33.858,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1991,32.986,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1990,32.088,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1989,31.226,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1988,30.332,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1987,29.617,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1986,28.838,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,1985,28.558,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2023,68.891,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2022,68.464,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2021,67.997,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2020,67.439,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2019,66.958,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2018,66.487,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2017,65.965,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2016,65.317,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2015,66.38,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2014,65.558,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2013,64.934,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2012,63.969,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2011,63.018,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2010,60.897,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2009,60.042,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2008,61.511,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2007,60.227,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2006,59.236,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2005,60.449,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2004,59.68,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2003,58.528,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2002,56.081,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2001,54.77,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,2000,53.415,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1999,52.145,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1998,50.787,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1997,49.371,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1996,47.994,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1995,46.618,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1994,45.461,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1993,44.324,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1992,43.951,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1991,42.714,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1990,41.664,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1989,40.577,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1988,39.551,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1987,38.53,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1986,37.62,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1985,36.709,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1984,35.805,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1983,34.89,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1982,34.475,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1981,33.695,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1980,33.02,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1979,32.352,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,1978,31.767,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2008,92.773,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2007,92.578,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2006,91.961,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2005,91.835,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2004,91.606,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2003,91.411,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2002,91.199,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2001,90.973,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,2000,90.723,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1999,90.434,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1998,90.15,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1997,89.869,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1996,89.585,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1995,89.291,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1994,88.991,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,1993,88.922,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2022,99.476,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2021,99.462,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2020,99.438,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2019,99.409,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2018,99.382,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2017,99.26,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2016,99.228,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2015,99.207,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2014,99.17,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,2013,99.14,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1995,98.022,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1994,97.946,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1993,97.866,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1992,97.786,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1991,97.695,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1990,97.601,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1989,97.501,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1988,97.403,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1987,97.26,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1986,97.206,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1985,97.162,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1984,97.118,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1983,97.066,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1982,97.032,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,1981,96.999,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2023,76.336,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2022,75.713,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2021,75.065,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2020,74.534,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2019,73.911,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2018,73.507,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2017,72.934,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2016,72.567,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2015,71.704,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2014,70.679,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2013,69.594,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2012,68.732,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2011,68.387,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2010,68.176,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2009,65.866,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2008,64.909,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2007,63.828,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2006,62.531,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2005,62.191,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2004,62.554,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2003,61.712,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2002,60.801,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2001,60.114,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,2000,59.324,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1999,58.423,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1998,57.579,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1997,54.739,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1996,53.87,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1995,52.987,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1994,51.968,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1993,51.047,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1992,50.232,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1991,49.374,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1990,48.569,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,1989,47.535,"female, 15+"
